Year,Month,Code,Name,Unit,Finished,Substance_1,Substance_2,Complex,QC,Supporting
21,7,100130,디메티콘 유제 35% 자가,g,,,,,,
21,7,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,7,105944,20L Glass bottle(screw),EA,,,,,,
21,7,105996,멸균백1200*1200mm,EA,,,,,,
21,7,105998,멸균백400*500mm,EA,,200,100,,,
21,7,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,7,300006,퐁퐁,EA,,,6,,,
21,7,300009,Sartofluor GA 10',EA,,5,1,,,
21,7,300010,Sartofluor GA 20',EA,,,,,,
21,7,300011,Sartofluor Mini,EA,,,10,,,
21,7,302000,수산화나트륨(퀴놀론1KG),kg,,,,71.942,,
21,7,LMSM00007C,수산화나트륨 자가 (1kg),kg,19.985,,,,,
21,7,302060,AGP Solution Kit,EA,,,,,,
21,7,302101,5mL PC Validation Vial,EA,,,,,920,920
21,7,302102,Autoclave Indicator. Sigmaware,EA,,,,,,
21,7,302103,Hi Temperature Indicator(Shamrock)(건열),EA,,,,,,
21,7,302104,Chemical Indicator 1250 (3M),EA,,,,,,
21,7,302109,락스 (럭키),EA,,,5,,,
21,7,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,7,302123,펌프 튜빙(Masterflex L/S 16),EA,,,,,,
21,7,302124,펌프 튜빙(Masterflex L/S 17),EA,,,,,,
21,7,302125,펌프 튜빙(Masterflex L/S 18),EA,,,,,,
21,7,302126,펌프 튜빙(Masterflex L/S 24),EA,,,,,,
21,7,302127,펌프 튜빙(Masterflex I/P 73),EA,,,,,,
21,7,302128,펌프 튜빙(Masterflex I/P 82),EA,,2,3,,,
21,7,302143,Endotoxin Indicator(Endosafe) 자가,EA,,,,,,
21,7,302161,Durapore 필터(SCGVU11RE),EA,,4,,,,
21,7,302170,아세톤 자가,mL ,,,,,,
21,7,302171,Optiseal 필터(LAGR04TP6),EA,,,,,,
21,7,302210,펌프 튜빙(NALGENE 8060-0200),EA,1,,,,,
21,7,302212,펌프 튜빙(NALGENE 8060-0100),EA,,,,,,
21,7,302213,펌프 튜빙(NALGENE 8060-0060),EA,,,,,,
21,7,302214,펌프 튜빙(NALGENE 8060-0040),EA,1,,,,,
21,7,302250,필터 (PUY2UY300H),EA,,,,,,
21,7,302251,필터 (PUY2UY100H),EA,,,,,,
21,7,302256,필터 (PUY1UY400J),EA,,,,,,
21,7,302259,필터 (AB1PFA7PVH4),EA,,,,,,
21,7,302260,필터 (AB3NFZ7PH4),EA,,,,,,
21,7,302341,펌프 튜빙(Masterflex L/S 25),EA,,,,,,
21,7,302450,필터(SLK7002PFRP)(스팀필터),EA,3,,,,,
21,7,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,1,,,,,
21,7,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,6,,,,,
21,7,302453,필터(CTGB71TP3)(스팀필터),EA,,,,,,
21,7,302481,구연산무수(99.5%이상),kg,,,,,,
21,7,302520,PFA Tubing(EW-06371-04),EA,5,,,,,
21,7,302521,PFA Tubing(RZ-06375-02),EA,4,,,,,
21,7,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,7,302572,Millex-FG Filter(MTGR85000),EA,,,,,,
21,7,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,7,302620,CTGR75S01 Millipore Filter,EA,2,,,,,
21,7,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,7,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,7,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,7,302690,액체 세제 (액츠 무진복 세탁용),EA,,,1,8,,
21,7,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,2,,,,,
21,7,302780,H2O2 for HPV,EA,10,,,,,
21,7,302880,Sartfluor GA,EA,5,,,,,
21,7,302881,Sartfluor junior,EA,,,,,,
21,7,302882,SP Sephadex C50 자가,g,,,,,,
21,7,303090,테크세제,EA,,,,,,
21,7,302841,72B/A4 Clean paper,EA,,,,,,
21,7,200522,화이버 드럼,EA,,,,24,,
21,7,106602,보위딕 테스트 팩(Terragene),EA,40,1,3,,,
21,7,302255,필터 (PFY2UY300J),EA,,,,,,
21,7,302571,Sartofluor Filter(5185307T8),EA,,,,,,
21,7,302151,Sartoclean CA 20',EA,,,,,,
21,7,302257,필터 (PFY1J012J),EA,,,,,,
21,7,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,7,300953,킴텍스(50×70×1),EA,,,,,,
21,7,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,7,302254,필터 (MBS1002RJH2),EA,,,,,,
21,7,103638,밀리팩200(MPGL2GCL3),EA,,,,,,
21,7,102141,SARTOBRAN P 10' Filter,EA,,,,,,
21,7,100351,Filter SARTOPURE PP2,EA,,,,,,
21,7,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,26,3,4,,,
21,7,303034,Decon-cycle (Disinfectant)472mL 자가,EA,,4,,2,,
21,7,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,20,,4,,,
21,7,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,24,2,2,,,
21,7,303036,70% IPA 472mL 자가,EA,96,32,34,2,,
21,7,303060,70% IPA Gallon size 자가,EA,10,,,,,
21,7,303033,5% Decon-spore (Sporicide)472mL 자가,EA,15,,,,,
21,7,303039,5% Decon-spore(Sporicide)Gallon size자가,EA,10,,,,,
21,7,303035,Hypo-chlor (Sporicide)472mL 자가,EA,,,,,,
21,7,303040,Hypo-chlor (Sporicide) Gallon size 자가,EA,,,,,,
21,7,303080,70% IPA Dispenser용(자동분무기용),EA,,,,,,
21,7,102990,Filter Unit 1L 자가(Bottle top),EA,23,,10,,,
21,7,100136,트립신에데트산나트륨,mL ,,,,,,
21,7,107225,멸균백 580*900mm,EA,,,,,,
21,7,106156,Opticap XL2 Capsule Filter(KGW6A02FF3),EA,,,,,,
21,6,100130,디메티콘 유제 35% 자가,g,,,,,,
21,6,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,6,105944,20L Glass bottle(screw),EA,,,,,,
21,6,105996,멸균백1200*1200mm,EA,,,,,,
21,6,105998,멸균백400*500mm,EA,,100,,,,
21,6,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,6,300006,퐁퐁,EA,,,,,,
21,6,300009,Sartofluor GA 10',EA,,,,,,
21,6,300010,Sartofluor GA 20',EA,,,,,,
21,6,300011,Sartofluor Mini,EA,,5,,,,
21,6,302000,수산화나트륨(퀴놀론1KG),kg,,,,36,,
21,6,LMSM00007C,수산화나트륨 자가 (1kg),kg,20,,,,,
21,6,302060,AGP Solution Kit,EA,,,,,,
21,6,302101,5mL PC Validation Vial,EA,,,100,,1020,
21,6,302102,Autoclave Indicator. Sigmaware,EA,,,,,,
21,6,302103,Hi Temperature Indicator(Shamrock)(건열),EA,2,,,,,
21,6,302104,Chemical Indicator 1250 (3M),EA,1,,,,,
21,6,302109,락스 (럭키),EA,,2,2,,,
21,6,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,6,302123,펌프 튜빙(Masterflex L/S 16),EA,3,,3,,,
21,6,302124,펌프 튜빙(Masterflex L/S 17),EA,,,,,,
21,6,302125,펌프 튜빙(Masterflex L/S 18),EA,,,,,,
21,6,302126,펌프 튜빙(Masterflex L/S 24),EA,,,3,,,
21,6,302127,펌프 튜빙(Masterflex I/P 73),EA,,,,,,
21,6,302128,펌프 튜빙(Masterflex I/P 82),EA,,,,,,
21,6,302143,Endotoxin Indicator(Endosafe) 자가,EA,1,,,,,
21,6,302161,Durapore 필터(SCGVU11RE),EA,,7,,,,
21,6,302170,아세톤 자가,mL ,,,,,,
21,6,302171,Optiseal 필터(LAGR04TP6),EA,,,,,,
21,6,302210,펌프 튜빙(NALGENE 8060-0200),EA,4,,,,,
21,6,302212,펌프 튜빙(NALGENE 8060-0100),EA,,,,,,
21,6,302213,펌프 튜빙(NALGENE 8060-0060),EA,,,,,,
21,6,302214,펌프 튜빙(NALGENE 8060-0040),EA,,,,,,
21,6,302250,필터 (PUY2UY300H),EA,,,,32,,
21,6,302251,필터 (PUY2UY100H),EA,,,,5,,
21,6,302256,필터 (PUY1UY400J),EA,,,,,,
21,6,302259,필터 (AB1PFA7PVH4),EA,,,,,,
21,6,302260,필터 (AB3NFZ7PH4),EA,,,,,,
21,6,302341,펌프 튜빙(Masterflex L/S 25),EA,,,,,,
21,6,302450,필터(SLK7002PFRP)(스팀필터),EA,1,,,,,
21,6,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,1,,,,,
21,6,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,,,,,,
21,6,302453,필터(CTGB71TP3)(스팀필터),EA,,,,,,
21,6,302481,구연산무수(99.5%이상),kg,,,,,,
21,6,302520,PFA Tubing(EW-06371-04),EA,10,,,,,
21,6,302521,PFA Tubing(RZ-06375-02),EA,,,,,,
21,6,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,6,302572,Millex-FG Filter(MTGR85000),EA,,,,,,
21,6,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,6,302620,CTGR75S01 Millipore Filter,EA,,,,,,
21,6,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,6,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,6,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,6,302690,액체 세제 (액츠 무진복 세탁용),EA,,8,2,,,
21,6,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,,,,,,
21,6,302780,H2O2 for HPV,EA,,,,,,
21,6,302880,Sartfluor GA,EA,,,,,,
21,6,302881,Sartfluor junior,EA,,,,,,
21,6,302882,SP Sephadex C50 자가,g,,,,,,
21,6,303090,테크세제,EA,,,,,,
21,6,302841,72B/A4 Clean paper,EA,1000,,,,,
21,6,200522,화이버 드럼,EA,,,,20,,
21,6,106602,보위딕 테스트 팩(Terragene),EA,95,11,3,,6,
21,6,302255,필터 (PFY2UY300J),EA,,,,,,
21,6,302571,Sartofluor Filter(5185307T8),EA,,,,,,
21,6,302151,Sartoclean CA 20',EA,,,,,,
21,6,302257,필터 (PFY1J012J),EA,,,,,,
21,6,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,6,300953,킴텍스(50×70×1),EA,,,,,,
21,6,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,6,302254,필터 (MBS1002RJH2),EA,,,,,,
21,6,103638,밀리팩200(MPGL2GCL3),EA,,,,,,
21,6,102141,SARTOBRAN P 10' Filter,EA,,,,,,
21,6,100351,Filter SARTOPURE PP2,EA,,,,,,
21,6,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,11,7,,,,
21,6,303034,Decon-cycle (Disinfectant)472mL 자가,EA,3,15,4,,,
21,6,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,37,7,6,,,
21,6,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,12,,6,,,
21,6,303036,70% IPA 472mL 자가,EA,74,20,34,,,24
21,6,303060,70% IPA Gallon size 자가,EA,,,,,,
21,6,303033,5% Decon-spore (Sporicide)472mL 자가,EA,5,2,,,,
21,6,303039,5% Decon-spore(Sporicide)Gallon size자가,EA,2,2,,,,
21,6,303035,Hypo-chlor (Sporicide)472mL 자가,EA,,,,,,
21,6,303040,Hypo-chlor (Sporicide) Gallon size 자가,EA,,,,,,
21,6,303080,70% IPA Dispenser용(자동분무기용),EA,1,3,,,,
21,6,102990,Filter Unit 1L 자가(Bottle top),EA,42,,10,,,
21,6,100136,트립신에데트산나트륨,mL ,,,100,,,
21,6,107225,멸균백 580*900mm,EA,,,,,,
21,6,106156,Opticap XL2 Capsule Filter(KGW6A02FF3),EA,,,5,,,
21,5,100130,디메티콘 유제 35% 자가,g,,,,,,
21,5,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,5,105944,20L Glass bottle(screw),EA,,,,,,
21,5,105996,멸균백1200*1200mm,EA,,,,,,
21,5,105998,멸균백400*500mm,EA,200,100,100,,,
21,5,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,5,300006,퐁퐁,EA,,2,,,1,
21,5,300009,Sartofluor GA 10',EA,,4,,,,
21,5,300010,Sartofluor GA 20',EA,,1,,,,
21,5,300011,Sartofluor Mini,EA,,4,,,,
21,5,302000,수산화나트륨(퀴놀론1KG),kg,,,,12.971,,
21,5,LMSM00007C,수산화나트륨 자가 (1kg),kg,20,,,,,
21,5,302060,AGP Solution Kit,EA,,,9,,,
21,5,302101,5mL PC Validation Vial,EA,,,,,,
21,5,302102,Autoclave Indicator. Sigmaware,EA,,,,,,
21,5,302103,Hi Temperature Indicator(Shamrock)(건열),EA,,,,,,
21,5,302104,Chemical Indicator 1250 (3M),EA,,,,,,
21,5,302109,락스 (럭키),EA,,1,2,,,
21,5,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,5,302123,펌프 튜빙(Masterflex L/S 16),EA,10,,6,,,
21,5,302124,펌프 튜빙(Masterflex L/S 17),EA,,,,,,
21,5,302125,펌프 튜빙(Masterflex L/S 18),EA,,,,,,
21,5,302126,펌프 튜빙(Masterflex L/S 24),EA,,3,1,,,
21,5,302127,펌프 튜빙(Masterflex I/P 73),EA,,,,,,
21,5,302128,펌프 튜빙(Masterflex I/P 82),EA,,2,2,,,
21,5,302143,Endotoxin Indicator(Endosafe) 자가,EA,1,,,,,
21,5,302161,Durapore 필터(SCGVU11RE),EA,,6,,,,
21,5,302170,아세톤 자가,mL ,,,3000,,,
21,5,302171,Optiseal 필터(LAGR04TP6),EA,,,,,,
21,5,302210,펌프 튜빙(NALGENE 8060-0200),EA,,,,,,
21,5,302212,펌프 튜빙(NALGENE 8060-0100),EA,2,,,,,
21,5,302213,펌프 튜빙(NALGENE 8060-0060),EA,,,,,,
21,5,302214,펌프 튜빙(NALGENE 8060-0040),EA,,,,,,
21,5,302250,필터 (PUY2UY300H),EA,,,,,,
21,5,302251,필터 (PUY2UY100H),EA,,,,,,
21,5,302256,필터 (PUY1UY400J),EA,,,,,,
21,5,302259,필터 (AB1PFA7PVH4),EA,,,,,,
21,5,302260,필터 (AB3NFZ7PH4),EA,,,,,,
21,5,302341,펌프 튜빙(Masterflex L/S 25),EA,,2,,,,
21,5,302450,필터(SLK7002PFRP)(스팀필터),EA,,,,,,
21,5,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,,,,,,
21,5,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,,,,,,
21,5,302453,필터(CTGB71TP3)(스팀필터),EA,,,,,,
21,5,302481,구연산무수(99.5%이상),kg,,,,,,
21,5,302520,PFA Tubing(EW-06371-04),EA,,,,,,
21,5,302521,PFA Tubing(RZ-06375-02),EA,,,,,,
21,5,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,5,302572,Millex-FG Filter(MTGR85000),EA,,,,,,
21,5,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,5,302620,CTGR75S01 Millipore Filter,EA,,,,,,
21,5,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,5,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,5,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,5,302690,액체 세제 (액츠 무진복 세탁용),EA,,5,,,,
21,5,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,,,,,,
21,5,302780,H2O2 for HPV,EA,,,,,,
21,5,302880,Sartfluor GA,EA,,,,,,
21,5,302881,Sartfluor junior,EA,,,,,,
21,5,302882,SP Sephadex C50 자가,g,,,,,,
21,5,303090,테크세제,EA,,,1,,,
21,5,302841,72B/A4 Clean paper,EA,,,,,,
21,5,200522,화이버 드럼,EA,,,,32,,
21,5,106602,보위딕 테스트 팩(Terragene),EA,40,10,3,,,
21,5,302255,필터 (PFY2UY300J),EA,,,,,,
21,5,302571,Sartofluor Filter(5185307T8),EA,,,,,,
21,5,302151,Sartoclean CA 20',EA,,,,,,
21,5,302257,필터 (PFY1J012J),EA,,,,,,
21,5,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,5,300953,킴텍스(50×70×1),EA,,,,,,
21,5,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,5,302254,필터 (MBS1002RJH2),EA,,,,,,
21,5,103638,밀리팩200(MPGL2GCL3),EA,,,4,,,
21,5,102141,SARTOBRAN P 10' Filter,EA,,,2,,,
21,5,100351,Filter SARTOPURE PP2,EA,,,,,,
21,5,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,,15,12,,,
21,5,303034,Decon-cycle (Disinfectant)472mL 자가,EA,,4,,,6,
21,5,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,24,8,4,,,
21,5,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,28,,2,,,
21,5,303036,70% IPA 472mL 자가,EA,144,44,35,,15,24
21,5,303060,70% IPA Gallon size 자가,EA,,,,,,
21,5,303033,5% Decon-spore (Sporicide)472mL 자가,EA,30,2,,,,
21,5,303039,5% Decon-spore(Sporicide)Gallon size자가,EA,2,1,,,,
21,5,303035,Hypo-chlor (Sporicide)472mL 자가,EA,,,,,,
21,5,303040,Hypo-chlor (Sporicide) Gallon size 자가,EA,,,,,,
21,5,303080,70% IPA Dispenser용(자동분무기용),EA,14,,,,,1
21,5,102990,Filter Unit 1L 자가(Bottle top),EA,35,,10,,,
21,5,100136,트립신에데트산나트륨,mL ,,,,,,
21,5,107225,멸균백 580*900mm,EA,,250,,,,
21,5,106156,Opticap XL2 Capsule Filter(KGW6A02FF3),EA,,,,,,
21,4,100130,디메티콘 유제 35% 자가,g,15990,,,,,
21,4,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,4,105944,20L Glass bottle(screw),EA,,,,,,
21,4,105996,멸균백1200*1200mm,EA,,,,,,
21,4,105998,멸균백400*500mm,EA,,,200,,,
21,4,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,4,300006,퐁퐁,EA,,,,,3,1
21,4,300009,Sartofluor GA 10',EA,,,1,,,
21,4,300010,Sartofluor GA 20',EA,,,,,,
21,4,300011,Sartofluor Mini,EA,,1,,,,
21,4,302000,수산화나트륨(퀴놀론1KG),kg,,,,14,,
21,4,LMSM00007C,수산화나트륨 자가 (1kg),kg,59.988,,,,,
21,4,302060,AGP Solution Kit,EA,,,,,,
21,4,302101,5mL PC Validation Vial,EA,,,,,,
21,4,302102,Autoclave Indicator. Sigmaware,EA,,,,,,
21,4,302103,Hi Temperature Indicator(Shamrock)(건열),EA,2,,,,,
21,4,302104,Chemical Indicator 1250 (3M),EA,2,,,,,
21,4,302109,락스 (럭키),EA,,2,2,,,
21,4,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,4,302123,펌프 튜빙(Masterflex L/S 16),EA,11,,4,,,
21,4,302124,펌프 튜빙(Masterflex L/S 17),EA,,,,,,
21,4,302125,펌프 튜빙(Masterflex L/S 18),EA,,,,,,
21,4,302126,펌프 튜빙(Masterflex L/S 24),EA,,,,,,
21,4,302127,펌프 튜빙(Masterflex I/P 73),EA,,,,,,
21,4,302128,펌프 튜빙(Masterflex I/P 82),EA,,,,,,
21,4,302143,Endotoxin Indicator(Endosafe) 자가,EA,1,,,,1,
21,4,302161,Durapore 필터(SCGVU11RE),EA,,7,,,,
21,4,302170,아세톤 자가,mL ,,,,,,
21,4,302171,Optiseal 필터(LAGR04TP6),EA,,,,,,
21,4,302210,펌프 튜빙(NALGENE 8060-0200),EA,,,,,,
21,4,302212,펌프 튜빙(NALGENE 8060-0100),EA,,,,,,
21,4,302213,펌프 튜빙(NALGENE 8060-0060),EA,,,,,,
21,4,302214,펌프 튜빙(NALGENE 8060-0040),EA,,,,,,
21,4,302250,필터 (PUY2UY300H),EA,,,,,,
21,4,302251,필터 (PUY2UY100H),EA,,,,,,
21,4,302256,필터 (PUY1UY400J),EA,,,,,,
21,4,302259,필터 (AB1PFA7PVH4),EA,,,,,,
21,4,302260,필터 (AB3NFZ7PH4),EA,,,,,,
21,4,302341,펌프 튜빙(Masterflex L/S 25),EA,,,,,,
21,4,302450,필터(SLK7002PFRP)(스팀필터),EA,1,,,,,
21,4,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,,,,,,
21,4,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,2,,,,,
21,4,302453,필터(CTGB71TP3)(스팀필터),EA,,,,,,
21,4,302481,구연산무수(99.5%이상),kg,,,,,,
21,4,302520,PFA Tubing(EW-06371-04),EA,6,,,,,
21,4,302521,PFA Tubing(RZ-06375-02),EA,,,,,,
21,4,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,4,302572,Millex-FG Filter(MTGR85000),EA,2,,,,,
21,4,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,4,302620,CTGR75S01 Millipore Filter,EA,,,,,,
21,4,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,4,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,4,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,4,302690,액체 세제 (액츠 무진복 세탁용),EA,,8,,,,
21,4,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,,,,,,
21,4,302780,H2O2 for HPV,EA,,,,,,
21,4,302880,Sartfluor GA,EA,,,,,,
21,4,302881,Sartfluor junior,EA,,,,,,
21,4,302882,SP Sephadex C50 자가,g,,,,,,
21,4,303090,테크세제,EA,,,,,,
21,4,302841,72B/A4 Clean paper,EA,1000,,,,,
21,4,200522,화이버 드럼,EA,,,,32,,
21,4,106602,보위딕 테스트 팩(Terragene),EA,80,9,3,,,
21,4,302255,필터 (PFY2UY300J),EA,,,,,,
21,4,302571,Sartofluor Filter(5185307T8),EA,1,,,,,
21,4,302151,Sartoclean CA 20',EA,,,,,,
21,4,302257,필터 (PFY1J012J),EA,,,,,,
21,4,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,4,300953,킴텍스(50×70×1),EA,,,,,,
21,4,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,4,302254,필터 (MBS1002RJH2),EA,,,,,,
21,4,103638,밀리팩200(MPGL2GCL3),EA,1,,,,,
21,4,102141,SARTOBRAN P 10' Filter,EA,,,,,,
21,4,100351,Filter SARTOPURE PP2,EA,,,,,,
21,4,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,16,16,,,,4
21,4,303034,Decon-cycle (Disinfectant)472mL 자가,EA,29,15,4,,,
21,4,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,40,,,,,
21,4,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,24,4,4,,,
21,4,303036,70% IPA 472mL 자가,EA,132,32,29,,,12
21,4,303060,70% IPA Gallon size 자가,EA,8,,,,,
21,4,303033,5% Decon-spore (Sporicide)472mL 자가,EA,12,1,,,,
